adpSTATE.tsv:

State	staNUM	Abbr.	sitID	sitFREQ	sitDISB	suiID	suiFREQ	suiDISB	poaREQ	tpaREQ	sitWEB	suiWEB	localWEB	spTAX	localTAX	standHR	sitFORM	suiFORM	minWAGE	minCASH	maxTIP	subminWAGE	supplBONUS	suiLIMIT	sdiLIMIT	eeDED	newERSUI	disability	sitAPPL	sitAPPLNOTES	suiAPPL	suiAPPLNOTES				
Alabama	1	AL	R000999999	MN - Monthly	E EFT-Electronic Funds Transfer	9999999999	QT - Quarterly	E - Electronic Funds Transfer	N/A	N/A	http://revenue.alabama.gov/	http://labor.alabama.gov/	http://www.amroa.com/roster.htm	N/A	N/A	No	A-1	UC-CR4	7.25	2.13	5.12	4.25	5.0%	8000		None	2.7%	None	Critical	24-hrs Online Registration	Critical	24-hrs Online Registration				
Alaska	2	AK	N/A	N/A	N/A	99999999	QT - Quarterly	E - Electronic Funds Transfer	N/A	N/A	N/A	http://www.labor.state.ak.us/	N/A	"Employee-paid unemployment (SUI), Geographic and Occupational description"	N/A	No	N/A	TQ0IC	9.75				N/A	39700					N/A		Yes					
Arizona	3	AZ	99-9999999	T2 - Tied to Federal	E EFT-Electronic Funds Transfer	9999999 9	QT - Quarterly	E - Electronic Funds Transfer	N/A	N/A	http://www.azdor.gov/	https://www.azdes.gov/		N/A	N/A	No	A1-QRT	UC-018	8.05				5.0%						FEIN		Yes					
Arkansas	4	AR	99999999WHW	MN - Monthly	E EFT-Electronic Funds Transfer	999999999	QT - Quarterly	C - Check	N/A	N/A	http://www.dfa.arkansas.gov/	http://dws.arkansas.gov/		N/A	N/A	No	AR-3MAR	DWS-ARK209B	8				6.90%	12000					Yes		Critical	24-hrs Online Registration				
California	5	CA	999-9999 9	T1 - Tied to Federal	E EFT-Electronic Funds Transfer	999-9999 9	QT - Quarterly	G - Group Check	N/A	N/A	http://www.edd.ca.gov/	http://www.edd.ca.gov/		"Employee-paid disability (SDI)

Temporary-services employers"	N/A	No	DE9/DE9-c	DE9/DE9-c	10				10.23%	7000	106742				Critical		Critical	24-hrs Online Registration				
Colorado	6	CO	99999999	MN - Monthly	C - Check	999999.99	QT - Quarterly	C - Check	CO SUI	N/A	http://www.colorado.gov/	http://www.colorado.gov/		N/A	Yes	No	DR 1094W	UITR-1	8.31				4.63%	12200					Yes		Critical	24-hrs Online Registration				
Conneticut	7	CT	"9999999-999
99999999-999"	WK - Weekly	E EFT-Electronic Funds Transfer	99-999-99	QT - Quarterly	E - Electronic Funds Transfer	N/A	N/A	http://www.ct.gov/drs/	http://www.ctdol.state.ct.us/		N/A	N/A	No	CT-WH	UC-2 & UC-5A	9.6				N/A	15000					Critical		Critical					
Delaware	8	DE	1-999999999-001	OM - Octal	E EFT-Electronic Funds Transfer	99999 9	QT - Quarterly	C - Check	N/A	N/A	http://revenue.delaware.gov/	http://ui.delawareworks.com/		N/A	N/A	No	W-1	UC-8	8.25				N/A	18500					FEIN		Critical					
DC	9	DC	1E+12	MN - Monthly	E EFT-Electronic Funds Transfer	99-9999	QT - Quarterly	S - Super Check	N/A	DC SUI	http://dc.gov/	http://dc.gov/		"Corporate Officer / EE Relationship

New Commuter Transit Benefit"	N/A	No	N/A	DOES-UC830 / DUC8-31 ADP sends ILO	10.5										Warning		Critical					
Florida	10	FL	N/A	N/A	N/A	9999999	QT - Quarterly	E - Electronic Funds Transfer	N/A	FL SUI	N/A	http://dor.myflorida.com/dor/		Annual Special Assessment	N/A	No	N/A	RT-6											N/A		Warning					
